# Expression Atlas			
"# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-7453"			
"# Timestamp: Tue, 18-Feb-2020 06:12:59"			
Gene ID	Gene Name	'PLX4720; 1 micromolar' vs 'none' .foldChange	'PLX4720; 1 micromolar' vs 'none'.pValue
ENSG00000142675	CNKSR1	0.2	0.851994145
ENSG00000142676	RPL11	0.2	0.608221886
ENSG00000142677	IL22RA1	-0.5	0.622898929
ENSG00000142686	C1orf216	0.3	0.430737533
ENSG00000142687	KIAA0319L	1.6	9.69E-08
ENSG00000142694	EVA1B	1.7	0.11874537
ENSG00000142731	PLK4	-5.4	1.16E-34
ENSG00000142751	GPN2	0.3	0.347765047
ENSG00000142765	SYTL1	1.7	0.028273097
ENSG00000142784	WDTC1	1.3	0.064535404
ENSG00000142794	NBPF3	0.1	0.756461206
ENSG00000142798	HSPG2	2	0.014216342
ENSG00000142856	ITGB3BP	-1.7	0.001400922
ENSG00000142864	SERBP1	-1.4	1.46E-05
ENSG00000142867	BCL10	-0.5	0.191263968
ENSG00000142871	CCN1	-1.7	2.27E-04
ENSG00000142875	PRKACB	-0.2	0.737405994
ENSG00000142892	PIGK	-0.3	0.580493228
ENSG00000142910	TINAGL1	-2.8	2.01E-05
ENSG00000142920	AZIN2	1.6	0.00102308
ENSG00000142937	RPS8	0.5	0.425285681
ENSG00000142945	KIF2C	-2.9	8.49E-30
ENSG00000142949	PTPRF	-1.9	0.001005393
ENSG00000142959	BEST4	2.9	0.02279894
ENSG00000142961	MOB3C	0.5	0.275974788
ENSG00000143013	LMO4	0.8	0.010156351
ENSG00000143028	SYPL2	1.6	2.50E-04
ENSG00000143033	MTF2	-1.6	7.61E-05
ENSG00000143036	SLC44A3	1.3	0.053240109
ENSG00000143061	IGSF3	-1.9	2.19E-13
ENSG00000143067	ZNF697	-1.3	2.55E-04
ENSG00000143079	CTTNBP2NL	-0.3	0.317292233
ENSG00000143093	STRIP1	-0.2	0.658525507
ENSG00000143106	PSMA5	-1.5	4.32E-04
ENSG00000143107	FNDC7	-1	0.417314881
ENSG00000143110	C1orf162	1.1	0.221614055
ENSG00000143126	CELSR2	2.9	1.33E-07
ENSG00000143147	GPR161	-0.2	0.583067223
ENSG00000143149	ALDH9A1	-0.5	0.196452668
ENSG00000143153	ATP1B1	0.7	0.061773153
ENSG00000143155	TIPRL	-1.4	0.001976371
ENSG00000143156	NME7	-0.7	0.085833413
ENSG00000143157	POGK	-1	1.03E-04
ENSG00000143158	MPC2	-1.2	0.017853662
ENSG00000143162	CREG1	-0.6	0.087979726
ENSG00000143164	DCAF6	0.3	0.375720941
ENSG00000143171	RXRG	1.7	0.001198325
ENSG00000143178	TBX19	1.4	0.001094083
ENSG00000143179	UCK2	-1.6	2.99E-06
ENSG00000143183	TMCO1	-0.6	0.120323634
ENSG00000143184	XCL1	0.6	0.564344077
ENSG00000143190	POU2F1	-1.5	2.00E-05
ENSG00000143195	ILDR2	0.9	0.291878322
ENSG00000143198	MGST3	-0.2	0.65316596
ENSG00000143199	ADCY10	1.1	0.398231643
ENSG00000143207	COP1	-0.7	0.083683459
ENSG00000143217	NECTIN4	0.9	0.293434712
ENSG00000143222	UFC1	0.2	0.533626405
ENSG00000143224	PPOX	1.1	0.017555752
ENSG00000143226	FCGR2A	0.9	0.00934884
ENSG00000143228	NUF2	-7.3	5.08E-60
ENSG00000143248	RGS5	0.6	0.245042534
ENSG00000143252	SDHC	0.1	0.89532593
ENSG00000143256	PFDN2	-1.7	1.49E-07
ENSG00000143257	NR1I3	-0.2	0.798305403
ENSG00000143258	USP21	0.7	0.100737077
ENSG00000143294	PRCC	-0.3	0.540896954
ENSG00000143303	RRNAD1	1.9	2.45E-04
ENSG00000143314	MRPL24	-0.6	0.176002552
ENSG00000143315	PIGM	1.3	7.04E-05
ENSG00000143318	CASQ1	2.6	0.004883761
ENSG00000143319	ISG20L2	-0.9	8.56E-04
ENSG00000143320	CRABP2	1.1	0.099525391
ENSG00000143321	HDGF	-1.3	1.09E-04
ENSG00000143322	ABL2	-0.3	0.501038793
ENSG00000143324	XPR1	-0.3	0.425689247
ENSG00000143333	RGS16	0.2	0.853099297
ENSG00000143337	TOR1AIP1	-0.2	0.68746027
ENSG00000143341	HMCN1	1.3	1.26E-05
ENSG00000143344	RGL1	0.7	0.01664558
ENSG00000143353	LYPLAL1	-1	0.040653669
ENSG00000143355	LHX9	2.4	3.85E-12
ENSG00000143363	PRUNE1	0.4	0.133206471
ENSG00000143365	RORC	-1.5	0.280676285
ENSG00000143367	TUFT1	-1.1	5.87E-04
ENSG00000143368	SF3B4	-1.2	5.99E-05
ENSG00000143369	ECM1	0.6	0.356901279
ENSG00000143373	ZNF687	1.1	0.093455778
ENSG00000143375	CGN	-2	3.00E-05
ENSG00000143376	SNX27	-0.7	0.015070095
ENSG00000143379	SETDB1	0.3	0.304006759
ENSG00000143382	ADAMTSL4	2.8	2.16E-06
ENSG00000143384	MCL1	-1	8.25E-04
ENSG00000143387	CTSK	2.8	3.48E-09
ENSG00000143390	RFX5	0.8	0.003575396
ENSG00000143393	PI4KB	0.5	0.402928246
ENSG00000143398	PIP5K1A	-0.6	0.025538912
ENSG00000143401	ANP32E	-3.3	5.35E-24
ENSG00000143409	MINDY1	2.3	2.08E-07
ENSG00000143412	ANXA9	2.2	8.57E-12
ENSG00000143416	SELENBP1	3.5	0.001715697
ENSG00000143418	CERS2	-0.2	0.514789707
ENSG00000143420	ENSA	-0.3	0.339207389
ENSG00000143429	LSP1P4	0.1	0.907501616
ENSG00000143434	SEMA6C	2	4.11E-05
ENSG00000143436	MRPL9	-0.8	0.015776352
ENSG00000143437	ARNT	0.6	0.035339733
ENSG00000143442	POGZ	0.4	0.127963394
ENSG00000143443	C1orf56	1.5	1.16E-04
ENSG00000143450	OAZ3	0.7	0.359583678
ENSG00000143457	GOLPH3L	0.2	0.716767652
ENSG00000143458	GABPB2	0.7	0.038984879
ENSG00000143469	SYT14	0.9	0.030635125
ENSG00000143473	KCNH1	-0.7	0.459558254
ENSG00000143476	DTL	-6.9	5.24E-80
ENSG00000143479	DYRK3	-2.1	3.06E-11
ENSG00000143486	EIF2D	0.5	0.111169773
ENSG00000143493	INTS7	-1.1	0.005567558
ENSG00000143494	VASH2	-1.7	6.41E-04
ENSG00000143498	TAF1A	-2.8	4.13E-15
ENSG00000143499	SMYD2	-1.1	2.79E-04
ENSG00000143502	SUSD4	0.1	0.949830191
ENSG00000143507	DUSP10	-0.1	0.70273236
ENSG00000143512	HHIPL2	1.9	9.07E-04
ENSG00000143514	TP53BP2	-0.5	0.093380502
ENSG00000143515	ATP8B2	1	0.044645128
ENSG00000143520	FLG2	-0.3	0.639240346
ENSG00000143537	ADAM15	-0.7	0.464253572
ENSG00000143543	JTB	-0.2	0.72933139
ENSG00000143545	RAB13	1.3	4.27E-06
ENSG00000143549	TPM3	-2.3	6.26E-13
ENSG00000143552	NUP210L	0.3	0.811348605
ENSG00000143553	SNAPIN	-0.1	0.753675014
ENSG00000143554	SLC27A3	1	0.060709245
ENSG00000143569	UBAP2L	-0.6	0.078512612
ENSG00000143570	SLC39A1	0.6	0.405595027
ENSG00000143575	HAX1	-0.3	0.505925709
ENSG00000143578	CREB3L4	1.6	0.005890953
ENSG00000143590	EFNA3	1.6	0.043388571
ENSG00000143603	KCNN3	2.2	1.11E-08
ENSG00000143612	C1orf43	-0.2	0.502989451
ENSG00000143614	GATAD2B	-0.1	0.791598252
ENSG00000143621	ILF2	-1.9	1.65E-09
ENSG00000143622	RIT1	0.6	0.143623313
ENSG00000143624	INTS3	1.7	1.15E-05
ENSG00000143630	HCN3	-0.7	0.338670934
ENSG00000143631	FLG	-0.5	0.153061722
ENSG00000143633	C1orf131	-0.8	0.013292926
ENSG00000143641	GALNT2	1.2	0.007232056
ENSG00000143643	TTC13	-0.1	0.875654955
ENSG00000143653	SCCPDH	0.6	0.120550783
ENSG00000143669	LYST	2.1	9.43E-11
ENSG00000143674	MAP3K21	-2.8	1.87E-14
ENSG00000143702	CEP170	-0.5	0.18119467
ENSG00000143727	ACP1	-0.8	0.030293963
ENSG00000143740	SNAP47	0.3	0.432483038
ENSG00000143742	SRP9	-1.7	1.19E-04
ENSG00000143748	NVL	-1	6.49E-04
ENSG00000143751	SDE2	-0.7	0.032656254
ENSG00000143753	DEGS1	-1.4	1.63E-04
ENSG00000143756	FBXO28	-0.3	0.455399208
ENSG00000143761	ARF1	-0.3	0.654058918
ENSG00000143771	CNIH4	-1.3	0.001273657
ENSG00000143772	ITPKB	0.7	0.101224939
ENSG00000143774	GUK1	0.4	0.729450969
ENSG00000143776	CDC42BPA	-0.5	0.254560638
ENSG00000143786	CNIH3	1.4	0.002416579
ENSG00000143793	C1orf35	-0.2	0.744172322
ENSG00000143797	MBOAT2	-0.9	0.027136515
ENSG00000143799	PARP1	-0.9	0.006293634
ENSG00000143801	PSEN2	0.8	0.11042702
ENSG00000143811	PYCR2	0.2	0.737143533
ENSG00000143815	LBR	-1.5	4.97E-06
ENSG00000143816	WNT9A	-2.2	0.02490266
ENSG00000143819	EPHX1	1	0.070000266
ENSG00000143842	SOX13	1.5	0.003854815
ENSG00000143845	ETNK2	0.4	0.633164982
ENSG00000143847	PPFIA4	0.6	0.309850615
ENSG00000143850	PLEKHA6	0.1	0.96315973
ENSG00000143851	PTPN7	1.9	0.132073562
ENSG00000143858	SYT2	1.7	0.022941562
ENSG00000143862	ARL8A	0.7	0.213411836
ENSG00000143869	GDF7	2.1	0.107852291
ENSG00000143870	PDIA6	-1.2	1.09E-04
ENSG00000143878	RHOB	0.4	0.285530558
ENSG00000143882	ATP6V1C2	-1.1	0.033370523
ENSG00000143889	HNRNPLL	-0.3	0.45235441
ENSG00000143891	GALM	0.8	0.629354494
ENSG00000143919	CAMKMT	-0.1	0.795548953
ENSG00000143921	ABCG8	0.2	0.874313612
ENSG00000143924	EML4	-1.1	0.002487024
ENSG00000143933	CALM2	-2.7	1.95E-09
ENSG00000143942	CHAC2	-2.2	1.07E-05
ENSG00000143947	RPS27A	-0.6	0.199811511
ENSG00000143951	WDPCP	0.6	0.094060291
ENSG00000143952	VPS54	-0.3	0.625066582
ENSG00000143970	ASXL2	-0.3	0.453367891
ENSG00000143971	ETAA1	-0.5	0.368126967
ENSG00000143977	SNRPG	-2.6	1.35E-08
ENSG00000143994	ABHD1	2.4	2.27E-04
ENSG00000143995	MEIS1	0.5	0.243305125
ENSG00000144021	CIAO1	-0.4	0.170322803
ENSG00000144026	ZNF514	0.4	0.342193828
ENSG00000144028	SNRNP200	-0.5	0.280017693
ENSG00000144029	MRPS5	-0.7	0.020955498
ENSG00000144031	ANKRD53	1.5	0.152039077
ENSG00000144034	TPRKB	-2	1.68E-05
ENSG00000144040	SFXN5	0.4	0.445401908
ENSG00000144043	TEX261	-0.8	0.008743879
ENSG00000144045	DQX1	2.5	2.11E-05
ENSG00000144048	DUSP11	-0.9	0.074679779
ENSG00000144061	NPHP1	0.3	0.61695782
ENSG00000144115	THNSL2	2.5	7.92E-16
ENSG00000144118	RALB	-1.4	1.40E-05
ENSG00000144120	TMEM177	1.1	0.008348614
ENSG00000144134	RABL2A	1	0.005556121
ENSG00000144136	SLC20A1	-2.8	5.43E-18
ENSG00000144152	FBLN7	-1.3	0.290574922
ENSG00000144158	AL078621.1	-3	7.64E-06
ENSG00000144161	ZC3H8	-0.6	0.204512071
ENSG00000144182	LIPT1	-0.7	0.206972368
ENSG00000144199	FAHD2B	0.7	0.263641076
ENSG00000144214	LYG1	1	0.166702107
ENSG00000144218	AFF3	-1.6	0.039122036
ENSG00000144224	UBXN4	-0.1	0.897653833
ENSG00000144227	NXPH2	-2.7	0.05658378
ENSG00000144228	SPOPL	-1.5	2.95E-04
ENSG00000144230	GPR17	-2.9	0.036741634
ENSG00000144231	POLR2D	-1.5	1.57E-07
ENSG00000144233	AMMECR1L	-0.3	0.326585511
ENSG00000144278	GALNT13	-1.4	0.004177141
ENSG00000144283	PKP4	-1.1	5.86E-05
ENSG00000144290	SLC4A10	-1.3	0.385041947
ENSG00000144306	SCRN3	0.1	0.908897126
ENSG00000144320	LNPK	-1.7	5.47E-05
ENSG00000144339	TMEFF2	-1	0.457894487
ENSG00000144354	CDCA7	-4.4	8.02E-45
ENSG00000144355	DLX1	-0.1	0.91579066
ENSG00000144357	UBR3	-0.3	0.494305551
ENSG00000144362	PHOSPHO2	-0.5	0.588354295
ENSG00000144366	GULP1	0.5	0.359486436
ENSG00000144369	FAM171B	-0.3	0.592081575
ENSG00000144381	HSPD1	-2.5	1.14E-14
ENSG00000144395	CCDC150	-2.5	1.98E-10
ENSG00000144401	METTL21A	-0.9	0.0240136
ENSG00000144406	UNC80	-0.7	0.212549247
ENSG00000144410	CPO	2.7	0.034033539
ENSG00000144426	NBEAL1	-0.1	0.786053165
ENSG00000144445	KANSL1L	0.2	0.642518649
ENSG00000144451	SPAG16	-0.7	0.193806208
ENSG00000144452	ABCA12	1.8	0.02130809
ENSG00000144455	SUMF1	1.4	1.48E-05
ENSG00000144468	RHBDD1	-0.3	0.420104087
ENSG00000144476	ACKR3	2.6	0.06155188
ENSG00000144481	TRPM8	5.2	5.57E-54
ENSG00000144485	HES6	1.2	0.150410762
ENSG00000144488	ESPNL	-0.5	0.747657331
ENSG00000144504	ANKMY1	0.4	0.468219462
ENSG00000144524	COPS7B	-0.3	0.531980966
ENSG00000144535	DIS3L2	0.4	0.311320229
ENSG00000144550	CPNE9	-0.1	0.958626727
ENSG00000144554	FANCD2	-3.9	1.58E-34
ENSG00000144559	TAMM41	-1.3	5.25E-04
ENSG00000144560	VGLL4	1.6	3.00E-10
ENSG00000144566	RAB5A	-0.1	0.822732535
ENSG00000144567	RETREG2	0.4	0.404850403
ENSG00000144579	CTDSP1	1	0.200534926
ENSG00000144580	CNOT9	-1.5	4.14E-08
ENSG00000144583	4-Mar	-2.5	0.028340737
ENSG00000144589	STK11IP	1	0.138554591
ENSG00000144591	GMPPA	0.6	0.196814676
ENSG00000144596	GRIP2	2.1	0.014523833
ENSG00000144597	EAF1	-0.5	0.137584444
ENSG00000144619	CNTN4	3.9	1.90E-14
ENSG00000144635	DYNC1LI1	-1.8	1.98E-07
ENSG00000144642	RBMS3	1.8	6.28E-07
ENSG00000144645	OSBPL10	0.2	0.491114023
ENSG00000144647	POMGNT2	-0.1	0.938037261
ENSG00000144648	ACKR2	3	0.005951459
ENSG00000144655	CSRNP1	0.3	0.695359894
ENSG00000144659	SLC25A38	0.1	0.730784226
ENSG00000144671	SLC22A14	1.6	0.211420539
ENSG00000144674	GOLGA4	-0.9	0.014307939
ENSG00000144677	CTDSPL	-3.5	8.76E-31
ENSG00000144681	STAC	-2.1	1.93E-08
ENSG00000144711	IQSEC1	-0.2	0.711494149
ENSG00000144712	CAND2	0.2	0.774630198
ENSG00000144713	RPL32	0.2	0.7757487
ENSG00000144724	PTPRG	-0.2	0.556971133
ENSG00000144730	IL17RD	-2.8	1.27E-11
ENSG00000144736	SHQ1	-1.3	1.12E-04
ENSG00000144741	SLC25A26	0.1	0.753636644
ENSG00000144744	UBA3	-0.8	0.071489879
ENSG00000144746	ARL6IP5	0.5	0.17683529
ENSG00000144791	LIMD1	0.9	0.001822583
ENSG00000144792	ZNF660	-0.2	0.840787815
ENSG00000144802	NFKBIZ	-0.4	0.159738433
ENSG00000144810	COL8A1	5.9	9.12E-93
ENSG00000144815	NXPE3	0.2	0.656029673
ENSG00000144821	MYH15	-3.1	1.23E-13
ENSG00000144824	PHLDB2	-0.3	0.470671125
ENSG00000144827	ABHD10	-0.8	0.096589066
ENSG00000144834	TAGLN3	-2.4	2.23E-04
ENSG00000144840	RABL3	-0.9	0.039561876
ENSG00000144843	ADPRH	0.3	0.613544804
ENSG00000144847	IGSF11	0.8	0.119507292
ENSG00000144848	ATG3	-1.6	1.02E-04
ENSG00000144857	BOC	0.8	0.345088654
ENSG00000144867	SRPRB	-1.3	1.15E-04
ENSG00000144868	TMEM108	-0.5	0.390780336
ENSG00000144891	AGTR1	-0.5	0.534637341
ENSG00000144893	MED12L	0.9	0.011748202
ENSG00000144895	EIF2A	-0.3	0.535740711
ENSG00000144909	OSBPL11	-1.5	8.99E-05
ENSG00000144959	NCEH1	-0.7	0.111328647
ENSG00000145012	LPP	0.5	0.33083947
ENSG00000145014	TMEM44	0.9	0.050448051
ENSG00000145016	RUBCN	0.2	0.745694785
ENSG00000145020	AMT	1.7	0.046346307
ENSG00000145022	TCTA	1.1	0.003919426
ENSG00000145040	UCN2	1.4	0.068079305
ENSG00000145041	DCAF1	-0.9	7.41E-04
ENSG00000145050	MANF	-1.1	2.63E-05
ENSG00000145075	CCDC39	0.5	0.50240579
ENSG00000145087	STXBP5L	-3.8	7.88E-05
ENSG00000145088	EAF2	-1.8	0.001294096
ENSG00000145107	TM4SF19	-0.5	0.521342083
ENSG00000145113	MUC4	3	0.006333858
ENSG00000145147	SLIT2	-0.7	0.078003527
ENSG00000145191	EIF2B5	-0.3	0.484864307
ENSG00000145198	VWA5B2	0.4	0.774163763
ENSG00000145214	DGKQ	1.3	0.121860842
ENSG00000145216	FIP1L1	-0.6	0.045214744
ENSG00000145217	SLC26A1	1.1	0.168830465
ENSG00000145220	LYAR	-3.3	6.96E-27
ENSG00000145241	CENPC	-0.8	0.090448685
ENSG00000145242	EPHA5	3.2	0.006645699
ENSG00000145244	CORIN	3.1	5.44E-06
ENSG00000145246	ATP10D	0.5	0.249513888
ENSG00000145248	SLC10A4	-1.9	0.040191704
ENSG00000145284	SCD5	0.4	0.415256108
ENSG00000145287	PLAC8	-2.1	1.09E-08
ENSG00000145293	ENOPH1	-1.5	4.08E-06
ENSG00000145331	TRMT10A	-1	0.027237078
ENSG00000145332	KLHL8	-1.2	0.002102755
ENSG00000145335	SNCA	0.5	0.22033354
ENSG00000145337	PYURF	-0.8	0.061154126
ENSG00000145348	TBCK	1.4	8.42E-06
ENSG00000145349	CAMK2D	0.2	0.630964731
ENSG00000145354	CISD2	-1.7	1.56E-04
ENSG00000145362	ANK2	0.4	0.323498181
ENSG00000145365	TIFA	-1.7	5.33E-05
ENSG00000145375	SPATA5	-2.2	6.36E-09
ENSG00000145386	CCNA2	-5.4	1.84E-33
ENSG00000145388	METTL14	-0.2	0.599026553
ENSG00000145390	USP53	-1	0.01003602
ENSG00000145391	SETD7	0.1	0.759382317
ENSG00000145414	NAF1	-1.5	3.39E-05
ENSG00000145416	1-Mar	-0.9	0.062065076
ENSG00000145425	RPS3A	-0.4	0.446346257
ENSG00000145428	RNF175	0.9	0.133523969
ENSG00000145431	PDGFC	0.4	0.448424817
ENSG00000145439	CBR4	0.1	0.792326135
ENSG00000145451	GLRA3	2.7	0.051665944
ENSG00000145476	CYP4V2	2.1	9.81E-08
ENSG00000145491	ROPN1L	-1.6	0.009803528
ENSG00000145494	NDUFS6	-0.9	0.213168949
ENSG00000145495	6-Mar	0.1	0.765844417
ENSG00000145526	CDH18	4.4	2.07E-06
ENSG00000145536	ADAMTS16	-1.6	4.13E-04
ENSG00000145545	SRD5A1	-0.9	0.004645816
ENSG00000145555	MYO10	-0.4	0.394281401
ENSG00000145569	OTULINL	-1.6	0.018848288
ENSG00000145592	RPL37	0.5	0.320189147
ENSG00000145604	SKP2	-1.8	9.43E-10
ENSG00000145623	OSMR	1.2	4.75E-05
ENSG00000145632	PLK2	-0.6	0.137395824
ENSG00000145675	PIK3R1	1.1	6.25E-04
ENSG00000145681	HAPLN1	-0.7	0.130360892
ENSG00000145685	LHFPL2	1.4	8.46E-07
ENSG00000145687	SSBP2	1.7	5.52E-07
ENSG00000145700	ANKRD31	-0.1	0.897586369
ENSG00000145703	IQGAP2	-1.8	1.05E-04
ENSG00000145708	CRHBP	1.5	0.018200189
ENSG00000145715	RASA1	-1	0.009070304
ENSG00000145721	LIX1	1.8	0.171184772
ENSG00000145723	GIN1	-0.7	0.178263267
ENSG00000145725	PPIP5K2	-1.1	0.016256927
ENSG00000145730	PAM	0.6	0.056146184
ENSG00000145734	BDP1	-0.9	0.021066168
ENSG00000145736	GTF2H2	-1.8	2.88E-04
ENSG00000145740	SLC30A5	-0.4	0.343607718
ENSG00000145741	BTF3	-0.6	0.146046614
ENSG00000145743	FBXL17	0.9	0.028199679
ENSG00000145757	SPATA9	2.6	7.85E-05
ENSG00000145777	TSLP	0.7	0.56947773
ENSG00000145779	TNFAIP8	-3	3.95E-12
ENSG00000145780	FEM1C	-0.8	0.056590285
ENSG00000145781	COMMD10	-1.3	0.009874538
ENSG00000145782	ATG12	-0.4	0.31671801
ENSG00000145794	MEGF10	-0.3	0.42105997
ENSG00000145808	ADAMTS19	2.2	0.115648015
ENSG00000145817	YIPF5	-0.4	0.32204555
ENSG00000145819	ARHGAP26	2.5	5.37E-21
ENSG00000145824	CXCL14	-0.2	0.89291746
ENSG00000145826	LECT2	0.3	0.853788764
ENSG00000145833	DDX46	-1.5	3.54E-05
ENSG00000145860	RNF145	-1.2	1.39E-04
ENSG00000145861	C1QTNF2	-1.4	0.360749212
ENSG00000145868	FBXO38	-0.3	0.492758717
ENSG00000145882	PCYOX1L	2	3.30E-12
ENSG00000145888	GLRA1	-0.4	0.824124308
ENSG00000145901	TNIP1	0.8	0.203233519
ENSG00000145907	G3BP1	-1.9	1.72E-09
ENSG00000145908	ZNF300	-0.6	0.190508406
ENSG00000145912	NHP2	-1.4	1.83E-04
ENSG00000145916	RMND5B	1	0.012548635
ENSG00000145919	BOD1	-1	0.001837796
ENSG00000145934	TENM2	-2.6	8.09E-09
ENSG00000145945	FAM50B	0.1	0.884535444
ENSG00000145949	MYLK4	1.7	9.31E-05
ENSG00000145975	FAM217A	-0.4	0.755712622
ENSG00000145979	TBC1D7	-0.1	0.847209444
ENSG00000145982	FARS2	0.2	0.677634763
ENSG00000145990	GFOD1	-2	1.89E-06
ENSG00000145996	CDKAL1	-0.4	0.318827569
ENSG00000146001	PCDHB18P	2	6.45E-07
ENSG00000146005	PSD2	4.1	5.55E-04
ENSG00000146006	LRRTM2	0.6	0.739387689
ENSG00000146013	GFRA3	2.2	0.107605474
ENSG00000146021	KLHL3	3.5	2.34E-20
ENSG00000146054	TRIM7	-0.4	0.418216529
ENSG00000146063	TRIM41	0.6	0.196575943
ENSG00000146066	HIGD2A	0.4	0.463086822
ENSG00000146067	FAM193B	1.4	0.014213731
ENSG00000146070	PLA2G7	-4.1	3.48E-13
ENSG00000146072	TNFRSF21	-2.8	1.29E-24
ENSG00000146090	RASGEF1C	5	7.47E-06
ENSG00000146094	DOK3	-1	0.087721481
ENSG00000146109	ABT1	-0.6	0.13981989
ENSG00000146112	PPP1R18	-0.1	0.903638325
ENSG00000146143	PRIM2	-2.1	4.56E-09
ENSG00000146147	MLIP	-1	0.487405163
ENSG00000146151	HMGCLL1	0.7	0.592925979
ENSG00000146197	SCUBE3	5.6	5.09E-42
ENSG00000146205	ANO7	-0.4	0.702102062
ENSG00000146215	CRIP3	1	0.463273374
ENSG00000146223	RPL7L1	-0.9	9.95E-04
ENSG00000146232	NFKBIE	-1.1	0.054138503
ENSG00000146233	CYP39A1	0.6	0.345359879
ENSG00000146242	TPBG	-0.2	0.70590418
ENSG00000146243	IRAK1BP1	0.5	0.25419539
ENSG00000146247	PHIP	-1.2	0.001957923
ENSG00000146250	PRSS35	1.2	0.067184911
ENSG00000146263	MMS22L	-3.5	1.75E-20
ENSG00000146267	FAXC	-3.8	1.17E-21
ENSG00000146278	PNRC1	1.6	1.05E-06
ENSG00000146281	PM20D2	-2.4	1.39E-08
ENSG00000146282	RARS2	-0.8	0.080038682
ENSG00000146350	TBC1D32	-0.1	0.887394659
ENSG00000146352	CLVS2	-1.4	0.061974295
ENSG00000146373	RNF217	1.2	0.004662607
ENSG00000146374	RSPO3	2	0.055165954
ENSG00000146376	ARHGAP18	-0.5	0.319174742
ENSG00000146386	ABRACL	-2.1	8.59E-06
ENSG00000146409	SLC18B1	0.1	0.852626085
ENSG00000146410	MTFR2	-4.2	1.03E-18
ENSG00000146411	SLC2A12	1.9	0.007308542
ENSG00000146414	SHPRH	-0.7	0.023962927
ENSG00000146416	AIG1	0.5	0.116591202
ENSG00000146425	DYNLT1	-1.5	2.71E-04
ENSG00000146426	TIAM2	-0.1	0.772254703
ENSG00000146433	TMEM181	-0.8	0.004010907
ENSG00000146453	PNLDC1	-0.8	0.626965071
ENSG00000146457	WTAP	-1.2	0.001251159
ENSG00000146463	ZMYM4	-0.5	0.161145543
ENSG00000146469	VIP	-1.3	0.391598216
ENSG00000146476	ARMT1	-1.1	0.007128587
ENSG00000146477	SLC22A3	1.5	0.328611492
ENSG00000146530	VWDE	0.5	0.57146394
ENSG00000146535	GNA12	0.3	0.573892519
ENSG00000146540	C7orf50	-0.5	0.620211466
ENSG00000146555	SDK1	0.7	0.127495315
ENSG00000146556	WASH2P	1.9	0.002719287
ENSG00000146574	CCZ1B	-0.7	0.02364886
ENSG00000146576	C7orf26	0.3	0.568951626
ENSG00000146587	RBAK	-0.5	0.270135296
ENSG00000146592	CREB5	2.1	1.89E-08
ENSG00000146648	EGFR	-2.1	5.04E-11
ENSG00000146666	LINC00525	-1.7	0.047528931
ENSG00000146670	CDCA5	-5.2	7.27E-36
ENSG00000146674	IGFBP3	-3.2	3.48E-32
ENSG00000146676	PURB	-1	0.012757821
ENSG00000146677	AC004453.1	0.1	0.849893485
ENSG00000146700	SSC4D	0.1	0.920387976
ENSG00000146701	MDH2	-0.5	0.345934407
ENSG00000146707	POMZP3	-0.3	0.392498787
ENSG00000146729	NIPSNAP2	-0.5	0.247746414
ENSG00000146731	CCT6A	-1.7	3.12E-07
ENSG00000146733	PSPH	-0.9	0.011800848
ENSG00000146757	ZNF92	-1.1	0.005650288
ENSG00000146776	ATXN7L1	0.8	0.02404436
ENSG00000146802	TMEM168	-0.3	0.524563612
ENSG00000146826	MAP11	1	0.165877919
ENSG00000146828	SLC12A9	1.3	0.065022202
ENSG00000146830	GIGYF1	0.5	0.483680776
ENSG00000146833	TRIM4	1.4	1.23E-06
ENSG00000146834	MEPCE	-0.2	0.772853326
ENSG00000146842	TMEM209	-1.1	0.001831059
ENSG00000146856	AGBL3	0.4	0.467760386
ENSG00000146858	ZC3HAV1L	-0.6	0.228675203
ENSG00000146859	TMEM140	0.6	0.215020179
ENSG00000146872	TLK2	-0.2	0.634841852
ENSG00000146904	EPHA1	-0.5	0.693800107
ENSG00000146909	NOM1	-1.2	4.32E-05
ENSG00000146918	NCAPG2	-3.2	2.28E-23
ENSG00000146938	NLGN4X	0.4	0.339843428
ENSG00000146950	SHROOM2	-1.6	9.96E-11
ENSG00000146966	DENND2A	-0.6	0.392806198
ENSG00000147003	CLTRN	-1.4	0.088845576
ENSG00000147010	SH3KBP1	-0.3	0.315917113
ENSG00000147027	TMEM47	3.3	4.40E-19
ENSG00000147036	LANCL3	-0.8	0.135054215
ENSG00000147041	SYTL5	-2.1	2.86E-16
ENSG00000147044	CASK	-0.6	0.053728874
ENSG00000147050	KDM6A	-0.3	0.496043299
ENSG00000147059	SPIN2A	-1.2	0.433767789
ENSG00000147065	MSN	-1.5	8.50E-08
ENSG00000147082	CCNB3	0.3	0.628110205
ENSG00000147099	HDAC8	-0.5	0.278902759
ENSG00000147100	SLC16A2	3.6	4.19E-11
ENSG00000147117	ZNF157	0.7	0.499016513
ENSG00000147118	ZNF182	0.4	0.420104087
ENSG00000147119	CHST7	0.1	0.894530584
ENSG00000147121	KRBOX4	-0.3	0.532291018
ENSG00000147123	NDUFB11	0.2	0.810612704
ENSG00000147124	ZNF41	-0.2	0.688238286
ENSG00000147127	RAB41	-0.4	0.593760872
